,Species.False,Family,Batch,Pollinator,Pollen_collect_by_bee,H_sterol,Cholesterol,Desmosterol,X24Methylenecholesterol,Campesterol,Stigmasterol,Episterol,Sitosterol,Isofucosterol,Cycloartenol,Citrostradienol,Sitostanol,Campestanol,Cycloeucalenol,X31Norcycloartenol,X31Norcycloartanol,X2428MethyleneLophenol,X2428MethyleneCycloartanol,Pollinastanol,Schottenol,Lathosterol,X2425Dehydropollinastanol,Obtusifoliol,Epifungisterol,IsoObtusifoliol,X14MethylCholest8enol,Sum,Cholesterol.1,Desmosterol.1,X24Methylenecholesterol.1,Campesterol.1,Stigmasterol.1,Episterol.1,Sitosterol.1,Isofucosterol.1,Cycloartenol.1,Citrostradienol.1,Sitostanol.1,Campestanol.1,Cycloeucalenol.1,X31Norcycloartenol.1,X31Norcycloartanol.1,X2428MethyleneLophenol.1,X2428MethyleneCycloartanol.1,Pollinastanol.1,Schottenol.1,Lathosterol.1,X2425Dehydropollinastanol.1,Obtusifoliol.1,Epifungisterol.1,IsoObtusifoliol.1,X14MethylCholest8enol.1,Sum.1,Cholesterol.2,Desmosterol.2,X24Methylenecholesterol.2,Campesterol.2,Stigmasterol.2,Episterol.2,Sitosterol.2,Isofucosterol.2,Cycloartenol.2,Citrostradienol.2,Sitostanol.2,Campestanol.2,Cycloeucalenol.2,X31Norcycloartenol.2,X31Norcycloartanol.2,X2428MethyleneLophenol.2,X2428MethyleneCycloartanol.2,Pollinastanol.2,Schottenol.2,Lathosterol.2,X2425Dehydropollinastanol.2,Obtusifoliol.2,Epifungisterol.2,IsoObtusifoliol.2,X14MethylCholest8enol.2,Sum.2,Sum_C0,Sum_C1,Sum_C2,Sum_CSums,Sum_D0,Sum_D5,Sum_D7,Sum_D8,Sum_DeltaSums,DGrp
Brugmansia_X_candida,Brugmansia X candida,Solanaceae,2nd,Lepidoptera,No,0.430631234,0.001,0,0.417,0.048,0.003,0.036,0.088,0.369,0.008,0.004,0,0.001,0,0.007,0,0,0.001,0.002,0,0,0,0.003,0.005,0,0.003,1,0.008,0,2.748,0.318,0.019,0.241,0.582,2.435,0.053,0.025,0.001,0.005,0,0.047,0.003,0.001,0.009,0.014,0.002,0,0,0.023,0.037,0.002,0.021,6.59,0.245,0,82.453,9.533,0.582,7.216,17.457,73.039,1.58,0.739,0.031,0.139,0.005,1.407,0.078,0.019,0.275,0.406,0.049,0,0,0.681,1.092,0.051,0.621,197.697,0.021,0.511,0.464,0.996,0.019,0.926,0.045,0.006,0.996,Sum_D5
Brunfelsia_jamaicensis,Brunfelsia jamaicensis,Solanaceae,2nd,Lepidoptera,No,0.472167885,0.016,0,0.167,0.152,0.038,0,0.146,0.451,0,0.019,0,0.005,0,0.002,0,0.001,0,0,0.002,0,0,0,0.001,0,0,1,0.023,0,0.239,0.218,0.054,0,0.209,0.646,0,0.027,0,0.007,0,0.003,0,0.001,0,0,0.002,0,0,0,0.002,0,0,1.431,0.021,0,0.215,0.196,0.049,0,0.188,0.582,0,0.025,0,0.006,0,0.002,0,0.001,0,0,0.002,0,0,0,0.002,0,0,1.288,0.018,0.326,0.656,1,0.007,0.97,0.023,0,1,Sum_D5
Bryonia_dioica,Bryonia dioica,Cucurbitaceae,1st,Bee,Yes,0.375507358,0,0,0,0,0,0.019,0,0,0.52,0.007,0,0,0,0.122,0,0.065,0.269,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.125,0,0,3.497,0.044,0,0,0,0.817,0,0.435,1.807,0,0,0,0,0,0,0,0,6.725,0,0,0,0,0,0.069,0,0,1.923,0.024,0,0,0,0.45,0,0.239,0.994,0,0,0,0,0,0,0,0,3.699,0.642,0.353,0.007,1.002,0.911,0,0.091,0,1.002,Sum_D0
Buddleja_davidii,Buddleja davidii,Scrophulariaceae,1st,Butterfly,No,0.213085555,0.015,0.835,0.061,0.002,0.014,0,0.01,0.058,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.091,5.11,0.369,0.012,0.086,0,0.059,0.353,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.119,0.004,0.227,0.016,0.001,0.004,0,0.003,0.016,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0.857,0.063,0.082,1.002,0.007,0.995,0,0,1.002,Sum_D5
Callianthe_picta,Abutilon pictum,Malvaceae,2nd,Bird,No,0.495462455,0.002,0.26,0.326,0.008,0.01,0.003,0.109,0.227,0.033,0.002,0,0,0,0.001,0.007,0,0.008,0,0,0.002,0,0,0.001,0,0,1,0.018,2.367,2.967,0.075,0.087,0.031,0.991,2.063,0.298,0.016,0.002,0.001,0.001,0.007,0.062,0.004,0.07,0.002,0.002,0.019,0,0.004,0.005,0,0,9.092,0.163,21.838,27.254,0.692,0.799,0.279,8.439,19.062,2.73,0.15,0.014,0.007,0.005,0.069,0.55,0.036,0.633,0.017,0.025,0.186,0,0.032,0.052,0.001,0.003,83.039,0.305,0.346,0.348,0.999,0.049,0.944,0.006,0,0.999,Sum_D5
Calluna_vulgaris,Calluna vulgaris ,Ericaceae,1st,Generalist_insect,Yes,0.276972422,0.007,0,0,0.01,0,0,0.713,0.182,0.003,0.031,0,0,0,0,0,0,0,0,0.053,0,0,0,0,0,0,1,0.026,0,0,0.043,0,0,2.98,0.765,0.016,0.134,0,0,0,0,0,0,0,0,0.238,0,0,0,0,0,0,4.202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.979,0.999,0.003,0.912,0.084,0,0.999,Sum_D5
Calystegia,Calystegia,Convolvulaceae,1st,Generalist_insect,Yes,0.339954507,0.016,0,0.531,0.009,0,0,0.048,0.339,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.047,0,1.544,0.025,0,0,0.141,0.987,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073,0.54,0.387,1,0.057,0.943,0,0,1,Sum_D5
Camellia_sinensis,Camellia sinensis,Theaceae,2nd,Generalist_insect,Yes,0.57237678,0.004,0,0.018,0.001,0,0.006,0.005,0.004,0.174,0.09,0,0,0.001,0.115,0.005,0.028,0.015,0.009,0.417,0.003,0.004,0.004,0.091,0.006,0,1,0.012,0,0.046,0.003,0,0.015,0.013,0.01,0.448,0.23,0.001,0.001,0.003,0.299,0.01,0.072,0.039,0.023,1.079,0.007,0.01,0.01,0.236,0.015,0.001,2.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.314,0.17,0.516,1,0.323,0.035,0.638,0.004,1,Sum_D7
Campanula_fragilis,Campanula fragilis sub cavolinii,Campanulaceae,2nd,Bee,Yes,0.580962381,0.002,0.011,0.053,0.025,0.007,0.026,0.075,0,0.37,0.059,0.005,0.004,0.003,0.013,0.033,0,0.012,0.001,0.006,0,0,0.283,0.01,0.001,0.001,1,0.012,0.055,0.263,0.122,0.033,0.13,0.371,0,1.831,0.291,0.022,0.018,0.013,0.063,0.163,0.002,0.062,0.006,0.032,0,0,1.403,0.05,0.004,0.005,4.95,0.011,0.047,0.226,0.105,0.028,0.112,0.319,0,1.574,0.25,0.019,0.016,0.011,0.054,0.14,0.001,0.053,0.005,0.027,0,0,1.207,0.043,0.003,0.004,4.257,0.431,0.417,0.152,1,0.441,0.173,0.102,0.284,1,None
Campanula_isophylla,Campanula isophylla,Campanulaceae,2nd,Bee,Yes,0.5416773,0.002,0,0.051,0.018,0.005,0.021,0.054,0,0.316,0.132,0.003,0.007,0,0.007,0.026,0,0.003,0,0.01,0,0,0.338,0.006,0.001,0,1,0.008,0,0.182,0.065,0.017,0.075,0.193,0,1.128,0.47,0.011,0.024,0.002,0.026,0.093,0,0.012,0,0.035,0,0,1.206,0.021,0.002,0.001,3.572,0.009,0,0.206,0.074,0.019,0.085,0.218,0,1.278,0.533,0.013,0.027,0.002,0.029,0.106,0,0.014,0,0.039,0,0,1.367,0.024,0.002,0.002,4.048,0.351,0.445,0.204,1,0.362,0.13,0.17,0.338,1,Sum_D7
Canna_indica,Canna indica,Cannaceae,2nd,Bird,No,0.427376165,0.002,0,0.396,0.052,0.035,0.01,0.087,0.39,0.01,0.002,0,0,0,0.004,0,0,0.004,0,0,0,0,0.002,0.003,0,0,1,0.015,0,2.899,0.379,0.256,0.075,0.64,2.856,0.072,0.015,0.002,0,0.002,0.033,0.001,0.003,0.028,0,0,0,0,0.014,0.024,0,0,7.313,0.032,0,6.088,0.796,0.539,0.157,1.343,5.997,0.151,0.031,0.004,0,0.004,0.069,0.001,0.006,0.059,0,0,0,0,0.029,0.051,0,0,15.357,0.016,0.467,0.514,0.997,0.018,0.962,0.015,0.002,0.997,Sum_D5
Castanea_sativa,Castanea sativa,Fagaceae,1st,Generalist_insect,Yes,0.286855958,0.041,0,0,0.158,0,0,0.677,0,0.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.086,0,0,0.333,0,0,1.427,0,0.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.165,0.158,0.677,1,0.124,0.876,0,0,1,Sum_D5
Catalpa_bignonioides,Catalpa bignonioides,Bignoniaceae,1st,Generalist_insect,Unkown,0.293825018,0.022,0,0.061,0.022,0,0,0.147,0.718,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.078,0,0.219,0.078,0,0,0.529,2.588,0.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054,0.083,0.865,1.002,0.032,0.97,0,0,1.002,Sum_D5
Catharanthus_trichophyllus,Catharanthus trichophyllus,Apocynaceae,1st,Lepidoptera,No,0.411122464,0.001,0,0.003,0.036,0,0,0.524,0.112,0.02,0,0.092,0.213,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.011,0,0.029,0.348,0,0,5.117,1.091,0.194,0,0.899,2.075,0,0,0,0,0,0,0,0,0,0,0,0,0,9.765,0.006,0,0.016,0.188,0,0,2.763,0.589,0.105,0,0.485,1.121,0,0,0,0,0,0,0,0,0,0,0,0,0,5.273,0.021,0.252,0.728,1.001,0.325,0.676,0,0,1.001,Sum_D5
Centaurea_nigra,Centaurea nigra,Asteraceae,1st,Generalist_insect,Yes,0.167269124,0.017,0,0,0.002,0.002,0,0.05,0.003,0.005,0,0.048,0,0,0,0,0,0,0,0.874,0,0,0,0,0,0,1,0.027,0,0,0.003,0.003,0,0.082,0.004,0.008,0,0.08,0,0,0,0,0,0,0,1.449,0,0,0,0,0,0,1.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022,0.002,0.977,1.001,0.053,0.074,0.874,0,1.001,Sum_D8
Cirsium_vulgare,Cirsium vulgare,Asteraceae,1st,Generalist_insect,Yes,0.106298432,0.002,0,0,0.008,0.005,0,0.028,0,0.007,0.018,0,0,0,0,0,0,0,0,0.932,0,0,0,0,0,0,1,0.004,0,0,0.02,0.013,0,0.068,0,0.018,0.045,0,0,0,0,0,0,0,0,2.309,0,0,0,0,0,0,2.477,0.041,0,0,0.189,0.126,0,0.655,0,0.171,0.428,0,0,0,0,0,0,0,0,22.165,0,0,0,0,0,0,23.776,0.009,0.008,0.983,1,0.007,0.043,0.95,0,1,Sum_D8
