Species,Cholesterol.1,Desmosterol.1,X24Methylenecholesterol.1,Campesterol.1,Stigmasterol.1,Episterol.1,Sitosterol.1,Isofucosterol.1,Cycloartenol.1,Citrostradienol.1,Sitostanol.1,Campestanol.1,Cycloeucalenol.1,X31Norcycloartenol.1,X31Norcycloartanol.1,X2428MethyleneLophenol.1,X2428MethyleneCycloartanol.1,Pollinastanol.1,Schottenol.1,Lathosterol.1,X2425Dehydropollinastanol.1,Obtusifoliol.1,Epifungisterol,IsoObtusifoliol.1,X14MethylCholest8enol.1
Canna indica,0.209655188,0,39.64638515,5.184472019,3.507129251,1.022654542,8.744906084,39.04861531,0.984586405,0.204060651,0.025595295,0,0.023646834,0.446294078,0.009354468,0.03836333,0.382055493,0,0,0,0,0.19148432,0.330741585,0,0
Dipsacus fullonum,0.256444989,0.0132125,46.55785403,15.00269356,0,3.040342687,8.438569199,26.40112904,0.28975399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lonicera periclymenum,0.23773356,0,46.35598638,7.222695987,0.054168407,7.888439907,7.792774546,28.96498791,1.438996327,0.04421698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weigela,0.74344057,0,6.762390081,4.269108586,0,1.180182544,25.73719119,57.66272893,3.293981783,0.350976311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silene dioica,0.015687666,0.007476006,0,0,0,0,0.240340037,0,30.23385477,3.03401318,0,0,0,4.811230431,0,0,0,0,61.16623424,0,0,0.491163674,0,0,0
Cistus sp.,0.207745595,0,20.20718357,0.510857226,0,27.18963495,0.784860863,50.6414427,0.458275084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cistus x stenophyllus,0,0,20.825821,0.483882136,0,23.94042823,0.424953591,53.86108122,0.463833824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colchicum macrophyllum,0.816317772,0,6.491696509,14.3555044,1.308766624,0.927010625,43.75291259,18.57211529,6.498250428,0,0,0,0,0.166218325,0.048053821,0,6.775088091,0,0.107278183,0,0,0.057605532,0.123181809,0,0
Colchicum speciosum,1.447093363,0,1.714924081,12.34708927,2.458694488,0,44.82410108,11.4973645,17.52547057,0,0,0.088248742,0,0.08352443,0.045047993,0.022045537,7.443008792,0,0.324315763,0,0,0.062233108,0.088834841,0.028003432,0
Calystegia,1.613206023,0,53.08282,0.863836212,0,0,4.847128991,33.93529153,5.657717247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryonia dioica,0,0,0,0,0,1.854262537,0,0,51.9932137,0.660796552,0,0,0,12.15415487,0,6.464634985,26.87293735,0,0,0,0,0,0,0,0
Drosera regia ,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arbutus unedo,0.881855092,0.104576317,0,2.732047048,0.240837509,0,52.74658517,7.867687218,2.756958681,6.536601365,0.029024112,0.034556124,0.091681979,3.407551908,0.122000235,0.215156992,0.129596878,0.163569679,18.26685014,0.014567343,0.042312406,0.419815037,2.614171164,0.092409345,0.489588259
Calluna vulgaris ,0.623501345,0,0,1.032480994,0,0,70.92052347,18.20437098,0.370398319,3.189994083,0,0,0,0,0,0,0,0,5.658730809,0,0,0,0,0,0
Rhodendrum,0.720964275,0,0,4.902920768,2.145253301,0,90.1464324,0,2.084429259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euphorbia ceratocarpa,1.446623819,0,0,7.337545827,3.395844806,0,7.704553832,0,0,11.39045007,0,0,0,0,0,61.70448285,0,0,6.66358616,0,0,0,0.174989728,0.181922913,0
Euphorbia milii splendens,0,0,0,26.38796465,15.2328696,0,38.80612695,19.29704592,0,0,0,0.218784869,0,0,0,0,0,0.057208014,0,0,0,0,0,0,0
Baptisia australis,0,0,67.82252621,0,0,0,32.17747379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genista tinctoria,0.719682174,0,1.718643572,11.11581708,0,0,41.55052021,40.17421012,2.813651424,1.907475417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laburnum anagyroides,1.322490483,0.748988651,90.79196166,0.37046623,0,1.733037566,1.686264324,0,1.98668795,1.360103133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lupinus polyphyllus,0,0,0,16.87794894,0,0,73.61875849,9.503292564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medicago falcata,0.705120332,0,0,8.032210003,0,0,71.12373765,20.13893202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medicago sativa,5.736181953,0,0,0,0,0,5.471420831,0,26.37020542,30.66171465,0,0,0,0,0,0,0,0,31.76047715,0,0,0,0,0,0
Trifolium pratense,3.057093128,0,63.37858079,0,0,0,6.806583886,26.75774219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulex europaeus,0.07360125,0,2.281679491,16.45897596,3.9250773,0,39.1347912,37.63148739,0.494387407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castanea sativa,4.059811288,0,0,15.81902899,0,0,67.69218152,0,12.4289782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geranium renardii,1.530059224,0,43.08426532,17.23735402,0,0,38.14832144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
